ID,cells,tasmax.11.2010,long,lat
1,176224081,1.9500000000000455,-85.99597259835,50.00402721765
2,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
3,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
4,150300601,-2.25,-114.99597248235,55.004027197650004
5,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
6,111484655,-7.25,58.787360155850024,62.49569383435
7,191786761,9.25,3.0040270456500195,47.00402722965
8,168459661,5.9500000000000455,10.504027015650024,51.50402721165
9,201291087,10.150000000000034,5.720693701450017,45.17069390365
10,197835941,12.050000000000011,12.837360339650019,45.837360567649995
11,191787361,5.550000000000011,8.004027025650004,47.00402722965
12,190060001,3.8500000000000227,13.337360337650011,47.337360561649994
13,168459661,5.9500000000000455,10.504027015650024,51.50402721165
14,155497921,8.950000000000045,-3.9959729263499923,54.00402720165
15,163620643,7.550000000000011,5.354027036250017,52.43736054125
16,169538354,8.150000000000034,-0.3876396074499837,51.29569387915
17,169538354,8.150000000000034,-0.3876396074499837,51.29569387915
18,169538354,8.150000000000034,-0.3876396074499837,51.29569387915
19,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
20,123819163,-5.75,-113.64597248775,60.11236051055
21,123819163,-5.75,-113.64597248775,60.11236051055
22,148013112,-4.949999999999989,-97.40430588605,55.44569386255
23,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
24,104981276,-10.449999999999989,-136.03763906485,63.74569382935
25,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
26,160675105,0.1500000000000341,-60.795972699149985,53.00402720565
27,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
28,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
29,193506446,4.850000000000023,-66.28763934384999,46.67069389765
30,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
31,193506446,4.850000000000023,-66.28763934384999,46.67069389765
32,144294547,-6.849999999999966,-125.44597244055,56.16236052635
33,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
34,148013112,-4.949999999999989,-97.40430588605,55.44569386255
35,148013112,-4.949999999999989,-97.40430588605,55.44569386255
36,148013112,-4.949999999999989,-97.40430588605,55.44569386255
37,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
38,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
39,144294547,-6.849999999999966,-125.44597244055,56.16236052635
40,144294547,-6.849999999999966,-125.44597244055,56.16236052635
41,101570338,-10.75,-120.52097246025,64.40402716004999
42,193506446,4.850000000000023,-66.28763934384999,46.67069389765
43,144294547,-6.849999999999966,-125.44597244055,56.16236052635
44,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
45,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
46,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
47,176224081,1.9500000000000455,-85.99597259835,50.00402721765
48,176224081,1.9500000000000455,-85.99597259835,50.00402721765
49,123819163,-5.75,-113.64597248775,60.11236051055
50,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
51,123819163,-5.75,-113.64597248775,60.11236051055
52,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
53,200678072,6.650000000000034,-62.73763935804999,45.287360569849994
54,123819163,-5.75,-113.64597248775,60.11236051055
55,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
56,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
57,160675105,0.1500000000000341,-60.795972699149985,53.00402720565
58,144294547,-6.849999999999966,-125.44597244055,56.16236052635
59,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
60,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
61,149566224,-2.25,-114.80430581645,55.14569386375
62,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
63,193506446,4.850000000000023,-66.28763934384999,46.67069389765
64,123819163,-5.75,-113.64597248775,60.11236051055
65,193506446,4.850000000000023,-66.28763934384999,46.67069389765
66,160675105,0.1500000000000341,-60.795972699149985,53.00402720565
67,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
68,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
69,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
70,155489761,-2.349999999999966,-71.99597265434998,54.00402720165
71,149566224,-2.25,-114.80430581645,55.14569386375
72,123819163,-5.75,-113.64597248775,60.11236051055
73,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
74,160675105,0.1500000000000341,-60.795972699149985,53.00402720565
75,144294547,-6.849999999999966,-125.44597244055,56.16236052635
76,149566224,-2.25,-114.80430581645,55.14569386375
77,144294547,-6.849999999999966,-125.44597244055,56.16236052635
78,124382641,-8.75,-97.99597255034999,60.00402717765
79,160976028,-0.9499999999999886,-73.10430598324999,52.945693872549995
80,124382641,-8.75,-97.99597255034999,60.00402717765
81,160675105,0.1500000000000341,-60.795972699149985,53.00402720565
82,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
83,101570338,-10.75,-120.52097246025,64.40402716004999
84,123819163,-5.75,-113.64597248775,60.11236051055
85,193506446,4.850000000000023,-66.28763934384999,46.67069389765
86,123819163,-5.75,-113.64597248775,60.11236051055
87,168793545,0.35000000000002274,-87.12930592714999,51.43736054525
88,123819163,-5.75,-113.64597248775,60.11236051055
89,144294547,-6.849999999999966,-125.44597244055,56.16236052635
90,144294547,-6.849999999999966,-125.44597244055,56.16236052635
91,148013112,-4.949999999999989,-97.40430588605,55.44569386255
92,148184910,-3.6499999999999773,-105.75430585264999,55.412360529349996
